0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log,avg,,0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
21163974,20370975,19190746,20780463,20714011,20698121,20019151,20089057,20993072,20872705,20790148,20523688,19169662,20836807,21009751,19041147,21553201,20300521,19389176,20539627,19118027,20341144.29,,24610970,24467710,24531552,24496704,24616026,24356082,24497496,24318835,24480583,24562082,24541451,24865561,25006231,24309460,24364500,24617432,24897372,25036154,25083245,24799585,24376843
21219248,21230530,19547427,21210203,20884294,21177256,20635596,20349575,21212081,21028290,21040893,20866596,20032949,21207555,21028299,21051409,21723830,20478583,20398708,21189828,20090955,20838290.71,,24625610,24475402,24712919,24551677,24724328,24765445,24578450,24345613,24662445,24681196,25026368,24952676,25076735,24436677,24433918,25077985,24959881,25103355,25094559,24927912,24450109
21263056,21372335,20707173,21222517,20946591,21193942,21093133,20516206,21217477,21079353,21147532,21198224,20421133,21294504,21309193,21098165,21853256,21103049,20887661,21216805,20926012,21098443.67,,24681677,24538578,24990111,24878512,24739179,24808219,24763194,24399949,24663438,25060349,25168590,24984255,25140225,24647262,24440645,25132293,25093199,25214476,25140807,25006284,24569514
21335635,21554601,20847234,21230361,21075603,21229223,21273338,21286536,21286268,21175816,21278406,21622021,21227255,21319438,21363806,21364518,21853786,21238070,21050644,21278945,21338372,21296660.76,,24683206,24559050,25009804,24899438,25003269,24919874,24767907,24408607,24785733,25129592,25176974,25152068,25192246,24828975,24467274,25157664,25122384,25235603,25163982,25236421,25117511
21350118,21560006,21183439,21249021,21412330,21339588,21338556,21538248,21379094,21255452,21321258,21672573,21322426,21387950,21441019,21523216,21946168,21424622,21207533,21475489,21421712,21416658,,24708576,24560144,25090665,24938631,25033888,24950723,24894801,24460395,24917314,25193524,25195783,25303827,25202047,25009438,24691634,25166500,25156995,25251935,25241192,25836924,25176871
21379579,21607091,21223321,21264627,21436719,21588910,21340844,21546612,21404026,21497593,21535959,21882073,21336140,21442108,21465191,21717382,21984132,21461247,21678262,21909951,21840632,21549638.05,,24812184,24619680,25107395,25037728,25081785,25124432,24900290,24510871,24944705,25212887,25206905,25305273,25268605,25060699,24740120,25193425,25185674,25265392,25275297,26137600,25266671
21412041,21674786,21232323,21267428,21491287,21642543,21343390,21714373,21454812,21614316,21740888,21936378,21496614,21706756,21489504,21770044,22365348,21523589,21746862,22043057,22342059,21667066.57,,24837015,24622698,25119263,25077307,25122505,25131471,24981023,24533403,24964222,25384281,25208759,25356882,25505563,25107371,24776172,25229677,25213625,25316355,25282835,26295158,25556249
21465012,21821713,21285369,21284183,21574647,21656881,21536367,21801061,21473447,21769766,21835569,22166869,21497519,21970194,21911910,21950688,22499265,21614963,21819342,22194249,22347101,21784576.9,,24842272,24663177,25124828,25098299,25124592,25179826,24993227,24696813,25050990,25481382,25382001,25367161,26296312,25169556,24820220,25386474,25961926,25317678,26401364,26331995,25691278
21486399,22324300,21312341,21304049,21597731,21719097,21642115,22329847,21481438,21801612,21836910,22467259,21581126,22539380,21937249,22140723,22693263,21631183,21825932,22530298,22511012,21937774.48,,24881965,24667015,25141478,25107111,25132958,25194867,25072588,24716095,25059218,25616325,25542443,25761209,26303302,25214742,24865165,25392725,26210245,25345648,26550085,26470648,26186321
21494951,22436762,21343635,21366418,21599386,21750262,21912059,22447262,21519751,22088831,22291495,22547390,21798974,22594560,22083381,22216521,22778467,21692775,21920718,22754016,22585758,22058255.81,,24918600,24746866,25160712,25134947,25140394,25206691,25117110,24757195,25062770,25739851,25976276,25864791,26411040,25232789,24981443,26048978,26247747,25520140,26572753,26572252,26693179
21531817,22482134,21351850,21464394,21694114,21893695,21913038,22630095,21615550,22156323,22304465,22589414,21809322,22725703,22492404,22228434,22848687,21701726,22592863,22759596,22597294,22161091.33,,24942146,24837490,25171898,25151998,25143231,25255671,25139347,24829827,25091033,25954228,26103034,25940182,26447674,25359215,25182186,26232240,26272173,25640986,26581360,26595405,26743729
21673424,22497239,21361635,21514033,21905619,22280437,22272960,22796377,21636765,22388675,22441932,22788410,21963689,22899316,22544860,22955997,22852768,21734625,22602748,22877344,22775917,22322131.9,,24958517,24885577,25181308,25205222,25151228,25276841,25143091,24859741,25152533,26082864,26121725,26001732,26477085,25365228,25305794,26289143,26460222,26179927,26585306,26615856,26748779
22245179,22588711,21472127,21564196,21921560,22306450,22323019,22954187,21717998,22576018,22693678,23020468,22350719,22969209,22575375,22994211,23046900,21937433,22765879,22881927,22806984,22462487.05,,24968080,24892505,25190236,25246917,25187086,25635745,25210120,24978315,25239687,26110320,26270789,26281117,26606664,25384616,25440690,26373778,26572874,26392680,26615609,26621707,26783797
22293320,22628664,21565691,21798574,21930141,22394378,22377923,22983870,21784854,22657752,22755459,23110484,22808778,23005969,22683554,23070591,23055902,22080347,22822210,22892199,22816970,22548458.57,,24999368,24994801,25421170,25248911,25190361,26233286,25280174,25029505,25444645,26218143,26339996,26425810,26671014,25443794,25574463,26653344,26725023,26416833,26667642,26738606,26838716
