0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
10578097,10866473,10817246,11159930,10904207,11164278,10732934,10900968,10820179,10548109,10855907,10679681,11089041,10892885,10611939,10856605,10945452,10825325,10923704,10857781,10859178
10768237,10889211,10959167,11190120,10941327,11184412,10763299,10967065,11050821,10704876,10903076,10792529,11351804,11022151,10813836,10887918,10950110,10948474,10930690,10920583,10885042
10773852,10954690,10970381,11231893,10942961,11193554,11001583,11015397,11118175,10875742,10922533,10892596,11611187,11046804,10857729,10963725,11000548,11101479,10973115,11028218,10902584
10787559,10989712,10983796,11354801,10944956,11210172,11007653,11046835,11151228,10939167,11038254,10906286,11964970,11049905,10859278,10965612,11083737,11167222,11038148,11045336,10927596
10825133,11010370,11015196,11624584,10981435,11243472,11063876,11079204,11318410,10989091,11127427,10908740,11968764,11076051,10920418,11016636,11102108,11198703,11081135,11132936,10930254
10827903,11023519,11026323,11656180,10994728,11248836,11135340,11093893,11326531,10989324,11169851,10921017,11971648,11094794,11004422,11025433,11102120,11200774,11116582,11138490,10948837
10841845,11042082,11076275,11736610,11033219,11324171,11372434,11104732,11347918,11060724,11232347,10939831,11977863,11130182,11017288,11035316,11130583,11319223,11207438,11140074,11004592
10844509,11081408,11077906,11848092,11039406,11375371,11398996,11216260,11380439,11069594,11320991,10946972,11996023,11203196,11027749,11070694,11162190,11406214,11254055,11144820,11082010
10845276,11091884,11087634,11863009,11060464,11628059,11507279,11223527,11385546,11072733,11392461,10964015,12016436,11226358,11049778,11126660,11192822,11469127,11301851,11250051,11124322
10853477,11093211,11096109,11982579,11066442,11877935,11539740,11235873,11531758,11077976,11458224,10968732,12046562,11227642,11055795,11152902,11273098,11645443,11311800,11379077,11153045
10882678,11103686,11110868,12009806,11068580,11899956,11631354,11277822,11545359,11094763,11543288,11016018,12047071,11253846,11070479,11189502,11475515,11753189,11515649,11384295,11239553
10893201,11132101,11123839,12031283,11112991,11919057,11889748,11297727,11670937,11107226,11617985,11023373,12051503,11322561,11104047,11224073,11620529,11757394,11599989,11386941,11257807
10937007,11138789,11138915,12072916,11132245,11919917,11944642,11307271,11673405,11187945,11675655,11040875,12057134,11359288,11210661,11297115,11629854,11959759,11618676,11497471,11309906
10941557,11142988,11143345,12094483,11140546,11951224,11979111,11347823,11893164,11244841,11695166,11042117,12063721,11455146,11268378,11361958,11685594,11972820,11630783,11530551,11525093
10945970,11143743,11148695,12098483,11146207,11961795,12026763,11347938,11953669,11344586,11922931,11081929,12064387,11477406,11356216,11398564,11799004,11975139,11879340,11551235,11585664
10954043,11153687,11151016,12130155,11147987,11987347,12049243,11352232,11969267,11454678,11979272,11085896,12078674,11617415,11402395,11418731,11806250,11987765,11900559,11554032,11952451
10955036,11157616,11154856,12148051,11227247,11992117,12065849,11382525,11969299,11577716,11985878,11101170,12085408,11741904,11419383,11443560,11855066,11991038,11907365,11659328,11979082
10957838,11159992,11157335,12154103,11235679,12003744,12071243,11496839,11973683,11578153,12000685,11106950,12087099,11809887,11457662,11447163,11890250,12000034,11922637,11738994,11988045
10965068,11163312,11185572,12159791,11241681,12024440,12072094,11726065,11998443,11689172,12006313,11112582,12103502,11841264,11468232,11566860,11961864,12002875,11974322,11750772,11990958
10970625,11164443,11207933,12179835,11290330,12051800,12107721,11768568,12001882,11785276,12040618,11114928,12111231,11895104,11619212,11590590,11967162,12027715,11999690,11901712,12005945
10971125,11171215,11209367,12189087,11316697,12060804,12110333,11781434,12013297,11848803,12050615,11117110,12114129,11946400,11621913,11591875,11974744,12035015,12016037,11911204,12017640
