0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
24610970,24467710,24531552,24496704,24616026,24356082,24497496,24318835,24480583,24562082,24541451,24865561,25006231,24309460,24364500,24617432,24897372,25036154,25083245,24799585,24376843
24625610,24475402,24712919,24551677,24724328,24765445,24578450,24345613,24662445,24681196,25026368,24952676,25076735,24436677,24433918,25077985,24959881,25103355,25094559,24927912,24450109
24681677,24538578,24990111,24878512,24739179,24808219,24763194,24399949,24663438,25060349,25168590,24984255,25140225,24647262,24440645,25132293,25093199,25214476,25140807,25006284,24569514
24683206,24559050,25009804,24899438,25003269,24919874,24767907,24408607,24785733,25129592,25176974,25152068,25192246,24828975,24467274,25157664,25122384,25235603,25163982,25236421,25117511
24708576,24560144,25090665,24938631,25033888,24950723,24894801,24460395,24917314,25193524,25195783,25303827,25202047,25009438,24691634,25166500,25156995,25251935,25241192,25836924,25176871
24812184,24619680,25107395,25037728,25081785,25124432,24900290,24510871,24944705,25212887,25206905,25305273,25268605,25060699,24740120,25193425,25185674,25265392,25275297,26137600,25266671
24837015,24622698,25119263,25077307,25122505,25131471,24981023,24533403,24964222,25384281,25208759,25356882,25505563,25107371,24776172,25229677,25213625,25316355,25282835,26295158,25556249
24842272,24663177,25124828,25098299,25124592,25179826,24993227,24696813,25050990,25481382,25382001,25367161,26296312,25169556,24820220,25386474,25961926,25317678,26401364,26331995,25691278
24881965,24667015,25141478,25107111,25132958,25194867,25072588,24716095,25059218,25616325,25542443,25761209,26303302,25214742,24865165,25392725,26210245,25345648,26550085,26470648,26186321
24918600,24746866,25160712,25134947,25140394,25206691,25117110,24757195,25062770,25739851,25976276,25864791,26411040,25232789,24981443,26048978,26247747,25520140,26572753,26572252,26693179
24942146,24837490,25171898,25151998,25143231,25255671,25139347,24829827,25091033,25954228,26103034,25940182,26447674,25359215,25182186,26232240,26272173,25640986,26581360,26595405,26743729
24958517,24885577,25181308,25205222,25151228,25276841,25143091,24859741,25152533,26082864,26121725,26001732,26477085,25365228,25305794,26289143,26460222,26179927,26585306,26615856,26748779
24968080,24892505,25190236,25246917,25187086,25635745,25210120,24978315,25239687,26110320,26270789,26281117,26606664,25384616,25440690,26373778,26572874,26392680,26615609,26621707,26783797
24999368,24994801,25421170,25248911,25190361,26233286,25280174,25029505,25444645,26218143,26339996,26425810,26671014,25443794,25574463,26653344,26725023,26416833,26667642,26738606,26838716
25026015,25041308,25466679,25267222,25203635,26291743,25428745,25057512,25509011,26269285,26381260,26492628,26707613,25494524,26192446,26667276,26746609,26432238,26720298,26769121,26878939
25035722,25130916,25725479,25495132,25294648,26327003,25822780,25060431,25542602,26314350,26381873,26620195,26723036,25504977,26356553,26668200,26761332,26701837,26757944,26770648,26908557
25059910,25133129,25922633,25577994,25339131,26356426,26291352,25119415,25655670,26355009,26408098,26737890,26737186,25632778,26427628,26687913,26795902,26854657,26787990,26770992,27025999
25080680,25138845,25936862,25790908,25352447,26384900,26309051,25138012,25879344,26373229,26414874,26747925,26750271,26047911,26529333,26704635,26804074,26919469,26845108,26776231,27049002
25118983,25142888,26173808,25981519,25402342,26408302,26353000,25138126,26066035,26398784,26477298,26800895,26753081,26278803,26565787,26740196,26841072,26922514,26905414,26800529,27056846
25184282,25214052,26244815,25996516,25530063,26446811,26364720,25158503,26145766,26414693,26596277,26820443,26788807,26342096,26705679,26758328,26854268,26926046,26915568,26822607,27168263
25193018,25247269,26290849,26083213,25759855,26522968,26399746,25169201,26151969,26442852,26646916,26854097,26799273,26393624,26766489,26780770,26868747,26929304,26962371,26926912,27183128
25195300,25248126,26309647,26086299,25789070,26645530,26452845,25202729,26424372,26477115,26658179,26913298,26826988,26400835,26781762,26812717,26935683,26966264,26990909,27005788,27188844
25229514,25262378,26319112,26120140,25855606,26677277,26464591,25211676,26444833,26676529,26690278,26917300,26940652,26418950,26806031,26815052,27010091,26986383,27007626,27032638,27219739
25246457,25302938,26323505,26164965,25955855,26801937,26465264,25239322,26455411,26688885,26693605,26926228,26971454,26581251,26827649,26822437,27077109,26989352,27011016,27041626,27221733
