0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
16058156,16070222,16045229,16044147,16023386,16073500,16131669,16088261,16093357,16105749,16084456,15988306,16009835,16094227,16012647,16062486,16149970,16077941,16111802,16096638,16133796
16092533,16077495,16059703,16066461,16086488,16094755,16150293,16095103,16101516,16110747,16131016,16114047,16089972,16101403,16087233,16128059,16179561,16093491,16129047,16122558,16164209
16111312,16102574,16063414,16071152,16106933,16105914,16157713,16104123,16116302,16114542,16134237,16115451,16168377,16129801,16109852,16128856,16194172,16099806,16146317,16126266,16164374
16126833,16110488,16083555,16071160,16136116,16115839,16159997,16104193,16121238,16155848,16135593,16133942,16170389,16144679,16111432,16130366,16200930,16138026,16155998,16137802,16167987
16128875,16113173,16092724,16152289,16146744,16121443,16160599,16134799,16125463,16173742,16145827,16136509,16178946,16148061,16134038,16131243,16209550,16141066,16157565,16142054,16177113
16139460,16129252,16100619,16163174,16149034,16121560,16162009,16140057,16131141,16187351,16157455,16151315,16179203,16155552,16150330,16160563,16215851,16149935,16163867,16144304,16177926
16145032,16135868,16103098,16169257,16154021,16122001,16162680,16149585,16135717,16192805,16162356,16154004,16181398,16157587,16166629,16167576,16224498,16162638,16188896,16160016,16185467
16151903,16138139,16110619,16170505,16155777,16132479,16171353,16154010,16166386,16204488,16172302,16167076,16187448,16162262,16171437,16168710,16226303,16170248,16195293,16167835,16199548
16167023,16143815,16114372,16177831,16165279,16141019,16171522,16167406,16168695,16207613,16174627,16175722,16187963,16168348,16176614,16170495,16231233,16172674,16207057,16184483,16206758
16169921,16143971,16120805,16179838,16175538,16147944,16173569,16175100,16177186,16215580,16175368,16184341,16195004,16185062,16203247,16174251,16232256,16173172,16215157,16189572,16212473
16176821,16153476,16121626,16183027,16177153,16151886,16175173,16177135,16178460,16227430,16184745,16185747,16197492,16187436,16204491,16178142,16246554,16175653,16225570,16192714,16237045
16178688,16154098,16138077,16186693,16182856,16152665,16183100,16189785,16180543,16238749,16185142,16189244,16200068,16188716,16234114,16185246,16246849,16190598,16228679,16203865,16252165
16183011,16158836,16142188,16196472,16189774,16167820,16186463,16191060,16180651,16244872,16198180,16197066,16215986,16191226,16234314,16187432,16261026,16191925,16231100,16212483,16253073
16183659,16163840,16144985,16202912,16191537,16168531,16190241,16194395,16182372,16247156,16199066,16198063,16222416,16194620,16236515,16196747,16262669,16192858,16233370,16221110,16255126
16186217,16166290,16165880,16203989,16205920,16172128,16196926,16198956,16185045,16248924,16206773,16201195,16223793,16196081,16242008,16203365,16263800,16193299,16237865,16222121,16255734
16190942,16179786,16172125,16206922,16206301,16172414,16208540,16207050,16189059,16252675,16209837,16206995,16227314,16200356,16243573,16205865,16266962,16194959,16240296,16229070,16263271
16196225,16180721,16182994,16212090,16210953,16174354,16214217,16211733,16189080,16255508,16215391,16207263,16232862,16202534,16247953,16206055,16274323,16201271,16242284,16253491,16263325
16197997,16185800,16183291,16212099,16211646,16176878,16215388,16214396,16189667,16259539,16217338,16211522,16233800,16204037,16257437,16215905,16275096,16209926,16245774,16256328,16265507
16198082,16188978,16185745,16213840,16214478,16181483,16215798,16214408,16189789,16263785,16221858,16213070,16235575,16205169,16257577,16218454,16276105,16230514,16252769,16262826,16268475
16199104,16198219,16188664,16214622,16214539,16186019,16219261,16218922,16195940,16266899,16226426,16214411,16243092,16207360,16260370,16219916,16277066,16235825,16264217,16268857,16268660
16209263,16200007,16194086,16220433,16217610,16187652,16220787,16241477,16196188,16269733,16240946,16214868,16244580,16209803,16264445,16221130,16278148,16237033,16270754,16269497,16270232
16209391,16204156,16194407,16232339,16217811,16190087,16221248,16242919,16202352,16270307,16243009,16222305,16250902,16211692,16265152,16221871,16284168,16250852,16271593,16271858,16271330
16210496,16205392,16194961,16236314,16218985,16198694,16242622,16243489,16204551,16276268,16244585,16232329,16254586,16220487,16267501,16224202,16284617,16254308,16271971,16273311,16272484
16212000,16205678,16196893,16237334,16225485,16200973,16243686,16246008,16206554,16279109,16245481,16232794,16257437,16220659,16268968,16227019,16285409,16255617,16276286,16273601,16296307
16214727,16225268,16197306,16238043,16227546,16201845,16254885,16249536,16208517,16280357,16252281,16236889,16259781,16221215,16273880,16228555,16287849,16262835,16277062,16274618,16306710
16214947,16225553,16199161,16241437,16231463,16201913,16264681,16249633,16214455,16286708,16252372,16237373,16260295,16234275,16275940,16230810,16294278,16264094,16281008,16275754,16306928
16220196,16231294,16200343,16243860,16234413,16204079,16272622,16258756,16215007,16286998,16256337,16241437,16265686,16236838,16279147,16233565,16295825,16264575,16283592,16276085,16307316
16221401,16234503,16200447,16244043,16234843,16204576,16272643,16265621,16215988,16287176,16262565,16244512,16267977,16239376,16280735,16233661,16296223,16265401,16283860,16278426,16308046
16223940,16235272,16201045,16247018,16236051,16206726,16273655,16267692,16216250,16293754,16273429,16246170,16276435,16243716,16282236,16236954,16296417,16274791,16291839,16279099,16308683
