0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log,,,0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log
16403724,16427444,16383288,16449890,16545641,16427269,16462007,16458357,16392328,16489498,16512733,16446110,16438066,16469061,16319477,16467869,16507856,16467431,16465750,16386677,16514720,,,16403724,16427444,16383288,16449890,16545641,16427269,16462007,16458357,16392328,16489498,16512733,16446110,16438066,16469061,16319477,16467869,16507856,16467431,16465750,16386677,16514720
16439425,16431225,16495654,16472820,16563479,16430054,16468077,16500949,16417363,16536268,16513797,16495870,16475214,16551778,16552044,16502644,16522541,16481201,16499202,16497260,16572082,,,16439425,16431225,16495654,16472820,16563479,16430054,16468077,16500949,16417363,16536268,16513797,16495870,16475214,16551778,16552044,16502644,16522541,16481201,16499202,16497260,16572082
16449010,16468599,16509654,16519506,16586967,16447556,16536526,16506250,16482243,16549493,16514889,16498125,16563176,16569699,16554045,16571503,16549415,16527833,16540275,16568949,16583204,,,16449010,16468599,16509654,16519506,16586967,16447556,16536526,16506250,16482243,16549493,16514889,16498125,16563176,16569699,16554045,16571503,16549415,16527833,16540275,16568949,16583204
16466923,16482332,16512503,16527137,16587600,16488854,16542499,16514369,16508371,16558201,16517373,16503403,16571972,16590050,16555234,16589694,16560828,16553817,16549031,16576191,16613993,,,16466923,16482332,16512503,16527137,16587600,16488854,16542499,16514369,16508371,16558201,16517373,16503403,16571972,16590050,16555234,16589694,16560828,16553817,16549031,16576191,16613993
16474719,16484723,16525630,16527930,16597024,16494024,16553107,16523963,16509572,16562123,16550135,16516272,16577749,16592558,16556627,16598080,16577225,16562586,16601255,16582529,16635274,,,16474719,16484723,16525630,16527930,16597024,16494024,16553107,16523963,16509572,16562123,16550135,16516272,16577749,16592558,16556627,16598080,16577225,16562586,16601255,16582529,16635274
16483539,16489787,16533599,16528420,16602640,16507837,16607451,16524148,16510272,16580253,16552016,16525366,16630171,16609660,16563688,16624660,16578909,16579974,16630566,16601833,16803357,,,16483539,16489787,16533599,16528420,16602640,16507837,16607451,16524148,16510272,16580253,16552016,16525366,16630171,16609660,16563688,16624660,16578909,16579974,16630566,16601833,16803357
16504207,16490017,16542891,16528665,16610702,16522510,16620735,16559711,16517265,16584736,16564091,16543422,16679472,16616590,16567018,16627716,16599746,16584251,16659385,16622970,16837536,,,16504207,16490017,16542891,16528665,16610702,16522510,16620735,16559711,16517265,16584736,16564091,16543422,16679472,16616590,16567018,16627716,16599746,16584251,16659385,16622970,16837536
16506281,16511960,16543616,16542533,16615747,16531966,16628201,16560266,16520185,16585085,16586067,16568360,16695303,16632039,16574635,16646454,16620730,16592201,16666146,16681017,16837836,,,16506281,16511960,16543616,16542533,16615747,16531966,16628201,16560266,16520185,16585085,16586067,16568360,16695303,16632039,16574635,16646454,16620730,16592201,16666146,16681017,16837836
16508962,16519318,16555081,16548357,16623711,16533084,16658978,16573633,16529484,16616150,16586161,16581035,16701135,16639169,16582694,16655588,16623753,16599932,16715549,16720977,16840518,,,16508962,16519318,16555081,16548357,16623711,16533084,16658978,16573633,16529484,16616150,16586161,16581035,16701135,16639169,16582694,16655588,16623753,16599932,16715549,16720977,16840518
16509055,16524775,16564629,16549175,16628204,16549088,16659703,16595016,16533854,16629853,16597575,16590607,16720410,16653522,16590452,16671941,16640585,16606896,16809457,16724600,16845988,,,16509055,16524775,16564629,16549175,16628204,16549088,16659703,16595016,16533854,16629853,16597575,16590607,16720410,16653522,16590452,16671941,16640585,16606896,16809457,16724600,16845988
