per5,median,per95,mean
43341972.4,43792876.0,45016770.05,44182275.4854
43362007.300000004,43846514.0,45443393.45,47647419.0732
43219450.0,43796059.5,72974802.35,50867917.785
43081522.25,43809229.5,120531591.30000003,54155922.2314
43018630.05,43972492.5,129449939.75,59481398.6782
41417321.85,43905270.0,171030210.25,63394816.2302
41135811.05,43915965.0,171885253.15,64859291.6644
41160419.0,43963120.0,174579509.7,69470124.2988
41116702.3,43973252.0,275739166.65000004,74953743.9724
41010258.2,44012776.5,302905587.7,82349331.637
41027859.199999996,44048134.0,306496470.9500001,87437401.559
41022093.9,44099742.0,322547143.90000004,93216488.8964
40941165.75,44207341.0,338839680.15000004,107465438.7264
41071726.7,44236270.0,344433385.45000035,112324283.0468
41011842.75,44391486.5,355925130.1,113528879.0506
40873513.4,44289351.0,356026816.25000006,122717919.1476
40887819.1,44490764.0,378838681.89999986,137000458.4320864
40908616.35,44542034.0,392751752.1000001,144331548.7096
40941993.3,44674279.5,406740167.85,145119948.47
40992045.699999996,44788963.5,435614275.1500002,157786808.3568
40944273.6,45079748.5,460676724.6000004,182143395.9648
