per5,median,per95,mean
26129736.8,27013265.0,28328075.55,27226842.8958
26032855.400000002,27065081.5,28648868.450000003,29219749.5404
25057531.450000003,26982718.5,42619671.25000003,31126503.278
24762421.05,27128344.0,65174264.6,33649472.7768
24670726.85,27112636.0,66753967.40000002,36617200.4572
24587541.099999998,27015485.5,81309810.40000007,40845480.1864
24469853.15,27210431.0,91807471.10000001,43283318.3174
24483044.700000003,27280640.5,94285847.15000017,45179474.5306
24457769.75,27368708.5,240112531.05000004,50581952.6958
24334564.5,27406935.5,243754983.95,54173821.936
24194922.15,27478166.5,257009684.55,60678388.1148
24179452.65,27520886.5,258980913.35000002,68901135.4742
24138541.6,27576852.0,260903680.25,72691335.5402
24159332.15,27661211.0,269841415.6,69157625.6708
24082994.849999998,27674355.5,282967149.05,84458989.3194
24186523.65,27713515.0,288951457.85,89200900.9284
24198862.400000002,27911486.5,296882045.5,99495431.0012
24208135.2,28018124.0,300466544.1500001,109422122.9378
24311162.2,28191433.0,319887860.70000005,129455294.923
24310688.2,28382510.0,321836841.65,129967818.5582
24296302.75,28748097.0,336902377.75000006,147006285.5134
