per5,median,per95,mean
15044656.3,18222487.0,19772458.8,18136741.4942
14513432.2,18412278.0,20113919.2,19987134.286
14592935.85,18447100.0,27913830.65000004,22113454.072
14622193.0,18574267.0,36121073.75000001,23900254.115
13603818.149999999,18598305.5,43378164.0,26131409.6228
13338234.55,18601501.5,47983885.45000002,28134588.5908
13319988.200000001,18697777.0,51784861.55000001,30551316.8492
13192330.75,18802516.5,52770145.45,34335116.1022
13136842.799999999,18900014.5,226754202.20000002,40703194.8492
12952571.700000001,18984666.5,233199902.54999998,42799091.9426
13081790.4,19090841.5,233073894.0,44933232.3682
12872891.85,19101414.0,234523310.50000003,53899535.7176
13037964.75,19169006.0,236764629.75000003,57164165.4214
12973264.55,19034177.0,236173327.75,58834469.3068
12952542.8,19174904.0,251080494.10000023,65966699.4178
12947833.200000001,19258558.5,256429386.25,75300840.198
12927259.549999999,19291684.0,256016671.20000002,78663197.0796
12934424.55,19393785.5,261332019.15,92165052.7548
13021965.25,19470789.0,261147103.70000005,88098103.9426
12977316.95,19544899.0,263509093.95000005,103600005.1606
13042254.399999999,19646926.5,266459905.55000007,107976543.1956
