per5,median,per95,mean
56672530.25,57204872.0,58399691.15,57357962.0682
56638256.0,57191878.0,58451367.9,60918074.8934
56661824.699999996,57248116.0,72932518.00000001,63814777.8328
56467607.35,57260312.5,116429698.45,68304147.5316
55095842.65,57288960.0,134729961.75,73939121.7324
47054546.65,57352949.0,276581536.3,77444247.5886
46714611.55,57359251.5,288306683.3500001,80367425.8372
46786312.75,57462081.5,316529141.50000006,84920965.3786
46685777.95,57532442.0,320186536.0,93167838.2382
46553015.150000006,57578949.0,321288955.1,97199403.2716
46357445.65,57641210.5,321908572.05,102779130.9492
46218329.1,57762998.5,331249962.65000004,109864616.923
46231779.75,57816620.5,332787039.50000006,114555615.8914
46105926.449999996,57731778.5,348949082.25000006,124720296.7976
46163161.5,57855665.0,361104386.5500001,131837059.4146
46213692.7,58142098.5,356734362.6500003,139179173.6838
46271379.550000004,58176472.5,371189164.0,153197781.237
46232419.2,58305135.5,392715263.15000015,161708169.394
46350042.449999996,58304072.5,392554226.4500001,161838731.999
46370227.0,58459162.5,401794596.80000013,159870757.3768
46356220.349999994,58424808.0,450279759.55,183725561.6166
