per5,median,per95,mean
30464251.05,38877000.5,41239721.85,36719542.5118
30426410.349999998,39083844.0,41714564.6,39549042.6772
30250020.55,39651129.5,43759385.550000004,41732194.8738
29843891.8,39334315.0,61636968.90000009,44639611.5836
30102385.3,40144312.5,81589489.65,49654183.6144
30073930.099999998,40181023.0,256098247.9,55175006.9152
29637577.5,39821238.0,259379547.35000005,56822993.0362
29617210.400000002,40360381.5,265386095.75,63341278.807
29813935.400000002,40257205.0,270263926.70000005,65458238.762
29496772.3,40367286.0,271830251.15,71666879.1896
29672698.2,40254537.0,272080128.8,75621170.8358
29523561.15,40560276.0,272808800.0,77621049.3654
29818968.9,40701213.5,274425494.8,91463839.4128
29491350.599999998,40603089.5,274252416.7,90160596.6976
29638797.25,40760705.0,288005713.25,101132897.656
29684339.400000002,40881473.0,293041454.7,104594415.8364
29457493.75,40871365.5,298009370.15000004,124704639.855
29418906.95,40924559.0,313281781.4500001,137700137.732
29433951.9,40951901.5,302076043.75000006,123578628.1644
29532119.65,41107678.5,315087859.8500001,152909435.8804
29539478.95,41345716.5,482855476.80000013,149456169.4072
