per5,median,per95,mean
16462602.75,21218709.5,25159300.5,20959944.9222
16442516.6,23871096.0,29584013.35,23211555.222
16470068.2,24079775.0,32150448.35,25198114.5916
16466450.15,23501955.5,40406121.60000001,28140452.3978
16488111.55,24141904.5,49431533.00000003,31544241.4836
16492042.7,24073529.5,54685289.6,31954165.8006
16593699.8,24215212.0,56971610.300000004,36193659.9566
16507606.75,24264638.5,225992262.0000001,41139866.3028
16495178.9,24376662.5,236820467.4,45487004.8638
16622128.6,24421212.5,245807267.65000004,48360101.7442
16533992.4,24448856.5,246694675.90000004,52532279.2352
16558255.100000001,24837283.0,247622862.45000002,57130541.1248
16538481.75,24508539.0,247910731.25,57185985.8484
16554635.0,25402954.5,249489432.9,63873404.486
16546605.2,25048922.5,250116214.4,69523140.9018
16596614.100000001,25612401.0,260818192.95000002,81139150.7734
16572404.15,28738845.0,262014585.15,88511912.3158
16610018.5,29774983.0,264996898.7,91554743.754
16650360.299999999,29938775.0,269044687.70000005,97543681.8994
16635801.8,30127432.0,269927889.15000004,97315390.8284
16666589.850000001,30538863.5,277870737.40000004,123942156.1254
