per5,median,per95,mean
62171143.35,63696837.0,67145150.0,64030361.843
61967750.2,63666968.0,75644669.75000004,67724658.2952
61989051.95,63843333.5,94078499.00000003,70772120.36
56235132.1,63838356.0,137365081.10000002,74916071.563
56078224.400000006,63749859.5,138790196.65,77975670.652
54113995.95,63919336.5,282762102.70000005,83449997.2134
53329673.3,64043140.0,317251041.40000004,90805118.8662
53611337.699999996,64024531.5,322234468.15,97764546.8788
53193972.8,64265029.0,323609051.75,100732559.5446
53318174.900000006,64392583.0,324540022.05,107179518.5082
52896638.5,64529090.5,325000838.25000006,109996800.3322
52264567.25,64646445.0,336047348.8,124460942.4744
52244487.900000006,64877995.0,348838137.3500001,127512406.5584
51033383.5,65004009.0,355278311.2500002,131892167.5134
52887851.45,65306102.5,362819905.30000013,137907844.2686
51542343.7,65324578.5,372064154.6,150523880.5892
51146563.05,65982708.0,389064038.0000003,164711679.9056
50822423.0,66068012.5,397618887.90000015,170330682.8078
50666958.5,66400001.0,432635604.20000064,184615591.4652
51127971.75,67691558.5,455988237.40000004,187365358.9922
51199680.0,79414081.0,549614180.75,198017591.6996
