per5,median,per95,mean
44426036.199999996,46578587.5,49704221.1,46807027.8752
44450407.45,46657795.5,52962254.95,49638815.5516
43821245.599999994,46696530.0,65428279.75000004,52968715.125
43986023.75,46862232.5,74400808.9,55193981.8806
39398282.050000004,47027142.0,85456458.39999999,60834742.674
36349814.45,46975178.0,246965356.80000022,62042805.7926
36532316.2,47029117.0,264756155.75,65823221.2424
35360136.75,47222552.5,272384004.2,69680561.1826
33533472.35,47190773.0,273433171.25,75617915.9722
33594254.75,47374578.0,275203647.55,78094604.838
32863888.099999998,47263916.5,275495203.3,79681261.474
33198353.95,47665290.5,279920260.6,91158155.1882
33071241.4,47734320.0,281551301.3,97157787.818
32791054.6,47785547.0,288514171.05,104154125.7862
32900949.25,48141508.0,292449529.6,109814924.234
32770135.85,48259737.0,294489295.54999995,112472919.0068
32749962.950000003,48448349.0,312572694.40000015,131852457.154
32846480.75,48749619.0,314973404.2000001,132596346.2146
32752830.45,49231797.0,334403534.65000033,150664395.8814
32588783.2,49495696.0,330185755.2500002,161415486.6142
32509561.5,50474603.0,495149964.80000013,156410204.8096
