per5,median,per95,mean
22662434.950000003,34416740.5,38736905.65,31344741.93375
22735107.6,35167675.0,39348738.0,33608474.2555
23114446.75,35433991.5,40346425.05,35386811.89475
23363590.2,35666407.5,42124454.949999996,39314016.33775
23637600.1,35786878.0,44547113.399999976,40422192.14475
22846973.75,36006866.5,61539767.74999988,45327737.7235
23740295.5,36164731.5,71022365.14999999,45394413.57675
23196420.1,36280095.0,72366488.9,48165671.5915
23164289.450000003,36399534.5,240620048.4999999,53769803.9235
23809756.2,36420932.0,246326701.34999996,59331610.3345
23794871.5,36831621.5,252132838.44999996,58929237.60425
23524441.85,36840768.0,253274233.2,62537032.78425
23553313.25,36644000.0,252778433.55,61742623.75175
23431750.400000002,37051977.0,255707523.39999995,78662292.85575
23650551.650000002,37256937.5,256365499.95,95139020.2155
23146189.5,37219362.0,260104771.44999996,90694380.15825
23408629.900000002,37455339.0,268542947.0499997,93604601.0855
23426155.45,37750703.0,272536455.29999995,104639718.14525
23591308.1,37979250.0,278088023.3999999,102289244.3145
23319658.150000002,38255358.5,281274514.65,120223178.3855
23203218.5,38285545.5,284630553.09999996,118499575.4335
