per5,median,per95,mean
61368113.0,62287628.0,63974265.8,62479690.1234
61297299.45,62443903.0,64728858.150000006,64919072.9668
61225495.85,62437127.5,88380733.60000001,68061269.571
60607848.05,62461629.5,135080533.55,71846099.647
55061117.0,62462809.5,137446859.35,77665854.3896
54724419.8,62625527.0,186729827.75,81264013.6164
54321496.300000004,62728898.5,188093845.9,82719491.5678
53857884.55,62877384.5,190317236.00000003,88686038.0758
53163270.75,63027579.5,284268370.3000001,91775097.0684
53379563.65,63186039.0,325155625.5,98809776.0646
53032387.099999994,63325648.0,343506909.20000005,109002073.061
53170652.25,63554025.5,332773586.8000002,111103396.3916
51846951.5,63792143.5,346004723.35,119879304.4004
50415769.65,63985818.5,369887518.3,129121691.8108
50814140.9,64012849.0,362942445.00000006,128030481.1216
49865107.5,64344056.0,375381417.55,145417348.196
49495446.65,64397784.0,412581242.5000002,154366583.391
49632432.55,64514431.0,420887806.85,163593307.3904
49867584.800000004,64970267.0,417651051.0,164809142.59891978
49916967.95,65379870.5,442701259.70000005,182935545.1004
49785076.5,65632005.0,459963859.30000013,191170273.527
