per5,median,per95,mean
44105401.1,45339655.5,46890071.55,45544336.2528
43297422.400000006,45309636.5,54368977.85000002,47453041.7458
43155087.1,45312679.5,60953536.85000002,51435622.0044
42825692.35,45339940.5,71658145.3,50970530.7374
41215167.599999994,45391119.5,85581646.20000008,55086341.835
37197648.35,45366375.0,98513171.45000009,56312015.3816
34704556.5,45431602.0,107490354.1,61148230.4042
34086592.65,45553593.0,249392846.25000003,65178116.3228
33876231.9,45546282.5,264027878.85000002,69794036.627
32512946.5,45628900.0,265391126.3,71528274.5296
32374608.05,45672164.0,273451296.35000014,82543561.803
32518620.15,45705691.0,278197571.25,90613819.338
32265987.25,45811981.0,283154903.1,90262134.6108
32296853.1,46080738.5,289757412.1000001,91744623.1282
32234075.25,46195398.0,300921697.85,103961828.24
32138871.700000003,46277237.0,302873409.95,114559059.406
32186336.1,46465435.5,315765443.25000006,118278469.1202
32284734.45,46627283.0,316864201.25000006,121104387.1558
31780496.45,46713599.0,325609963.70000005,129857455.2728
31702639.55,47002928.0,338210889.85,139963454.7378
31766395.9,47227269.0,509445719.3500002,163219655.2348
