per5,median,per95,mean
22594263.25,26945755.5,34350509.650000006,28697703.6248
22699652.400000002,32450953.0,35884769.00000001,31567382.4468
22868978.299999997,32592346.0,38431712.15,35094863.6236
22935966.45,33010270.5,50580560.10000002,41693351.7158
23001414.8,33279670.5,56183840.85000001,42914889.4252
23007389.450000003,33868290.5,235057082.05000013,46080323.4524
23164807.65,34420357.5,240873173.25000006,48839166.4286
22843599.65,34865291.5,246091378.75,56836774.6272
23098684.45,34942664.0,247353641.5,57713708.0378
22926327.7,35080253.0,247696695.10000002,61356163.5564
22978500.2,35234172.5,248828765.05,63970357.9064
23008617.849999998,35656469.0,251422195.60000002,71855157.5596
22892891.15,35735103.5,252922001.7,77178604.3288
22925127.9,35997248.0,254437949.8,88735858.1732
22963944.3,36542106.5,257467937.00000003,92501907.3496
22879436.25,36431769.5,262606668.30000004,97983239.2624
22983470.799999997,36484274.0,266019286.65,102623107.0018
23035755.849999998,36758217.5,273150031.20000005,111445176.1394
22918826.45,36978997.5,277878548.65000004,132008213.8494
22838603.3,37212018.5,278534050.75000006,124722127.794
22861471.75,37319130.0,324475586.70002383,134178340.558
