per5,median,per95,mean
110563867.6,112162046.0,114339072.60000001,112109706.77283333
100225186.25,111954761.0,121411339.55000009,117472836.52516666
101177484.14999999,112055314.5,178241114.85,123831874.53166667
100651879.55,112137016.5,274230790.40000004,128293636.17733334
99558128.35000001,112111718.0,307727028.3500001,136463948.1095
99410465.05,112169779.5,373733245.25,141439354.5215
99359839.44999999,112475521.0,394080747.09999996,150878915.06333333
99174389.0,112387101.5,397174719.7,161882137.6065
97017071.95,112371960.5,417893910.6,165379242.48983333
97893733.0,112583278.0,446308062.4000001,170264344.64483333
97973714.8,112331907.5,455465134.5500001,177563526.80116665
98211630.45,112838443.5,517721003.5500001,194282080.97083333
97326435.8,112880009.0,533672991.4000001,209791303.67066666
96861641.5,112941143.0,546176591.3000002,212392159.73616666
95662113.75,113025430.5,567874211.6000001,220770589.52983335
96126975.0,113076827.5,603234946.9000001,238826729.46883333
96179088.05000001,113279303.0,658491730.0500007,251083304.05366668
95827848.39999999,113570546.0,672765560.15,255224266.8575
95483233.39999999,113984506.5,736236918.2000002,285864870.5925
95750157.6,115259351.5,803822218.9000001,302495020.52183336
95986396.80000001,160844124.0,833835278.55,304757750.346
