per5,median,per95,mean
91857347.45,101969103.5,103935329.95,100583950.77833334
92223079.35,102257392.5,105186832.80000001,108084377.82066667
92395283.1,102590682.0,172394929.75000006,114596811.36533333
92209070.60000001,102506816.0,267605130.90000007,122172521.268
92254923.95,102500824.0,303361710.2,130241563.41966666
92477654.0,102765516.0,394152910.00000006,138878544.804
92263628.75,102763504.5,442133961.4,146756321.62066665
92270928.75,102845762.5,448833255.65,152560273.9325
92241657.15,102957488.5,451235173.8,158522241.152
92293383.5,103020969.0,457677003.3,166252595.56283334
92107753.85000001,103061280.0,461942572.7,178607754.07966667
91389058.55000001,103011575.0,468832818.45000005,185700802.99583334
91787293.1,103163446.5,514308622.15000004,199656629.749
91797394.60000001,103521879.5,526956619.0,211234135.5615
91773880.7,103683364.5,534318262.6500002,221035223.29383335
92066766.0,103770645.5,566653486.9500002,231690426.49533334
91795655.05,104097593.0,616372792.0500001,252844096.66816667
91890710.19999999,104461287.0,733526000.0000005,270608603.5745
90696302.60000001,104383081.0,739023397.9000001,282215826.1645
90727462.60000001,105006911.5,768279207.6000005,289925377.52816665
91547469.05000001,161675329.0,814186149.9000001,302115271.727
