per5,median,per95,mean
67895819.35,70609206.0,72365479.14999999,70548259.5805
67939847.7,70775473.0,73387273.35000001,73573188.88333334
67793290.3,70647844.5,96639711.75,76112621.638
67449898.5,70713119.0,138492853.70000002,79106415.26466666
66892099.349999994,70714915.0,143373128.95,82962233.85033333
59437437.8,70822734.5,192973227.10000002,87488630.10333334
55926757.8,70766914.5,195221986.15000004,90773582.33316667
54989709.349999994,70853709.5,195827672.65,92887498.5915
54691401.3,70903546.0,304420567.2000001,104193137.3125
53738106.849999994,71019137.5,323365119.1000001,104451097.77166666
54436758.45,71052884.0,330832026.45,109486991.20483333
53660401.65,71197479.5,340502945.0,118414965.99516666
52276255.9,71341645.0,357502655.40000004,128011813.15333334
53096271.25,71418513.0,362322345.00000006,132751936.27133334
52820905.05,71550711.5,368742650.79999995,138495002.07616666
52345791.05,71605308.5,381809473.65000004,155391440.26783332
49737865.5,71670249.0,397367036.70000017,153197686.925
52246812.349999994,71770697.0,409657607.05000037,161683310.73916668
50147390.7,72063177.0,431958229.95,179669539.35316667
49704969.75,72463618.5,459290568.65,202472513.14483333
50010153.8,76366966.0,470744927.3000001,209039803.64566666
