per5,median,per95,mean
59132781.949999996,60699263.5,62125303.5,60726473.63683333
59218218.1,60832306.5,63332954.600000024,64709476.35016666
59462269.449999996,60875843.0,90747771.65,67915255.38583334
58936601.65,61031254.5,133770048.14999999,72483156.981
54146647.3,61185615.0,150166366.7000009,77709107.23566666
52288870.5,61139180.5,313485915.65000004,83908755.47666667
51746844.9,61189482.5,319121437.34999996,90367081.02716666
51282868.55,61248557.0,319185121.25,93901286.81316666
51341169.050000004,61340029.5,322249972.3,99467732.60283333
51548835.25,61378140.5,321996736.40000004,101806247.64866666
49227392.25,61410866.5,328601522.15000004,108357209.51116666
49300152.05,61539347.5,333145094.7,115894367.81733334
48991627.2,61540875.0,349866257.25000006,128889151.32566667
49617959.95,61658591.5,353767240.8,135209242.10183334
48868069.300000004,61739407.0,361239294.35,139568987.41366667
48995060.199999996,61926427.0,370883449.25,154316052.2525
48806778.0,62048891.5,374413306.1,157887593.26
48829330.949999996,62140401.5,404778570.4500003,166016149.71683332
48747375.400000006,62240759.5,421946866.3500001,176444685.46416667
48674572.1,62457340.5,500613687.25000006,184934722.524
48802661.6,63416413.0,556857923.9000001,191347871.9605
