per5,median,per95,mean
21368205.05,25384843.0,48104707.7,32811906.423333332
21249180.2,37405354.5,48473107.75,38806316.082
21408841.35,46285746.5,48933466.55,44424462.8265
21615663.8,46276888.5,53520251.400000036,47754044.73083334
21834584.15,46345572.0,66341546.60000002,50081140.50733333
21683726.6,46277782.5,241489654.9,54594924.4115
21864715.4,46384204.5,241085301.20000014,54644324.21333333
21698393.2,46365859.5,252604740.3,61103865.82716667
22603186.1,46434857.0,255400257.45000002,63522815.20133334
22363691.7,46355155.0,255694212.5,67483799.11516666
23053528.7,46510381.0,257932652.55,76058477.5975
22980249.7,46488870.5,258179824.5,77047435.846
23220228.599999998,46455923.0,260244639.6,86211015.006
22719279.900000002,46489921.0,260485626.1,85219274.75533333
22866458.4,46459436.0,262711246.95000002,96269273.60766667
23081498.05,46480604.0,264192938.3,99562576.10316667
22811502.45,46483085.5,267671818.05000007,108639998.09433334
23015549.8,46582507.5,280690753.95,113767633.83966666
22662127.45,46639089.5,284216130.5,129745265.84383333
22984959.5,46674146.5,310456605.3500044,136225062.29483333
22760191.2,46688608.5,296798097.6500001,139589051.718
