per5,median,per95,mean
22412099.099999998,26885746.0,34584364.050000004,28418658.26333333
22302415.0,31711375.5,35068246.2,31179184.2995
22483469.05,32106913.5,36700931.65,33457696.309333332
22406439.25,32608167.5,37549646.7,36220948.592
22592820.3,33173652.0,44687505.65,37535017.074
22333236.85,33373945.5,58742035.400000066,41334112.5795
22548181.75,33419052.0,68172513.95,44284212.42166667
22277067.900000002,33500017.5,69807180.75000003,48467137.42033333
22449766.3,33675697.0,239031702.85,50318474.340833336
22433146.3,34048851.5,245404970.15000004,57222863.996
22386237.650000002,33954899.5,250047769.70000002,61817122.09833334
22381873.45,34160544.0,250126633.75,62362602.18883333
22371202.15,34362705.5,251916671.95,73580382.5855
22266966.55,34469720.5,252743961.5,75629511.44833334
22299211.3,34762288.0,255863706.89999998,81446599.44540757
22213885.45,34620332.0,256736718.90000004,90186517.57033333
22212451.95,34750610.0,268626374.5,90013042.61083333
22170827.8,34736011.0,274448015.2,100345427.976
22191203.85,35069157.0,275573195.2,111460971.38183333
22150705.5,35080199.5,283377166.4,123812577.38183333
22130253.45,35343405.5,284334981.35,120818014.51283333
