per5,median,per95,mean
67871490.45,69349683.5,71225984.5,69516499.506
67607095.85,69369363.0,71977290.5,72790923.2016
66701975.7,69386934.5,99101393.75,76968868.3598
57786412.25,69476182.5,137390062.9,81854303.6162
54496794.05,69488030.5,141239006.0,83338040.7452
54614973.25,69527764.0,284950321.05,90308188.5088
53688493.9,69585837.0,325430827.9,94768675.4516
53300734.550000004,69575652.0,327555406.75000006,103031736.8424
51732307.7,69642798.0,327635962.1,103254968.3964
50981444.35000001,69674481.0,328874905.5,111138011.9442
52567612.849999994,69760686.0,333593008.85,114894462.079
49759375.4,69950139.0,340222145.75000006,128106341.6242
49774267.7,70005793.0,354617113.9000001,132467922.1954
49743704.85,70108089.0,357791694.25000006,140047921.07
48995371.4,70034498.5,360689755.85,150997348.6946
48903817.300000004,70301038.5,377791020.5,156628349.6534
48885880.05,70733985.5,389862623.75,160809948.4676
48946389.75,70847771.5,406928278.0000001,170848698.8108
49201816.15,70999158.0,419387698.2000002,189227334.013
49251821.95,71484787.0,447195873.0,197402299.6702
49153103.25,76759352.0,596892870.8000002,214188585.3614
