per5,median,per95,mean
52825781.5,53430728.0,55395471.6,53393834.9122
49833344.85,53537811.5,56925341.05000002,56381869.4224
46971695.45,53532862.5,72069039.8,58209698.8156
43291175.6,53483757.0,77012601.95000002,61006638.8984
38176860.1,53546192.5,90375245.75,64595135.8812
35769128.2,53499197.0,250491655.75,67998850.5348
37205228.050000004,53579760.0,265344292.6000001,71331430.5148
33420499.05,53607852.0,274458428.8500001,73860563.7602
31984768.35,53587178.5,278661082.0,79385123.7776
32131721.25,53635972.0,279021111.85,85692551.0228
31893951.200000003,53861218.0,280606693.5,88945075.2288
31861968.900000002,53737799.0,281607136.45000005,96306970.9964
31921960.25,53844414.5,284506732.95,95988656.1464
31991824.8,53949382.0,295014241.6500001,106933655.8318
31694313.85,54031470.0,297525868.84999996,123100542.3676
31308205.400000002,54115153.0,299308262.2000001,119081022.3236
31173719.6,54408476.0,308638742.05,127461713.9854
31443589.6,54745635.0,320240247.40000004,140919117.8352
31236794.95,54730332.0,314302874.60000014,139287975.8724
31199876.349999998,55118505.5,493609532.6500001,160105349.7062
31382758.3,55746861.5,495744694.1500001,160525957.176
