per5,median,per95,mean
21969431.8,27468122.0,47136018.55,34551006.005
21100602.05,44882324.5,47046782.35,38172375.1624
21473051.950000003,44965574.5,47492459.2,40845231.5614
21130411.8,43529598.0,47662634.45,41005801.0114
20948368.55,45043456.0,52105891.05000001,45187439.691
21829362.35,45061339.0,68318598.75000001,49081504.9338
21967528.7,45088948.0,78115643.35000001,53365233.3838
22194152.35,44985163.5,239272361.75000006,53754436.8168
22287543.599999998,45068224.0,237311746.5500001,58513440.3298
22228656.5,45072310.5,245294782.55000004,58603710.4508
22717244.35,45042684.5,254873835.60000002,65383785.5688
22180047.0,45083223.5,257880024.5,69568995.26
22554780.55,45188331.5,259841970.25,78932053.1464
22223880.3,45098048.0,260026808.95000002,78341325.862
22423952.900000002,45130740.5,263860141.2,92889120.6626
22215654.35,45085928.0,265807407.60000002,98249315.9618
22266191.25,45147491.0,266084520.05000004,97672699.9166
22355480.7,45169127.0,278944295.95,109391081.0514
22480092.95,45178719.5,283051240.3,110568091.0324
22300606.1,45120426.5,287396217.75,118258556.8378
22210927.099999998,45189276.5,292008615.25000006,132710031.8934
