per5,median,per95,mean
67878213.45,70358803.0,72328212.10000001,70430551.5376
67887365.9,70383753.0,73065795.7,72737259.3806
67438900.95,70366367.5,95746522.15,75294336.231
67233484.8,70378693.0,137787383.15,80048576.3962
65548782.949999996,70486994.5,144277390.0,82661076.4208
57494296.7,70502492.5,192196953.20000002,87873638.7228
55391981.550000004,70561788.5,194465983.25,90178374.428
55546441.900000006,70636115.0,196718827.55000004,95186806.5182
54110548.150000006,70673246.5,315179543.1000001,102563146.7386
54303316.75,70795966.0,325786618.3,104344601.4824
54383308.550000004,70716685.0,332987655.25,111010182.2226
52626547.25,70909258.5,343649063.25,119068122.9666
53033662.1,71005692.5,346329324.35,127423543.8658
52945122.2,71007740.5,365494290.9,132413109.8726
49900880.699999996,71217339.0,376822065.8000001,135705138.697
50063427.5,71655731.0,386911816.6000001,149561248.1632
50298917.45,71541815.5,388409266.20000005,159656587.6898
49878914.3,72034760.5,420380454.0500008,167831682.3408
49710211.6,72211021.0,430921861.4,188792027.42
49594838.449999996,72189613.5,427125606.75,176437627.4382
49733215.05,77369804.0,465299240.40000004,198466599.0336
