per5,median,per95,mean
50205828.85,54492004.0,56461812.55,54053667.0568
49950741.6,54590512.5,57292655.65,55870134.1158
40385465.3,54544332.5,67845306.25,57522961.6686
38602987.0,54515742.5,78835425.00000001,59845781.9394
39261328.85,54563466.0,92146383.50000003,62488597.3904
36456438.949999996,54551782.5,97281663.00000003,63853376.509
35793632.900000006,54574256.5,113566057.90000002,68116234.9788
35654328.95,54641880.5,250996349.0500002,75844986.6752
32212479.349999998,54650041.0,256529702.50000003,74764406.9184
32269540.150000002,54711213.5,267728877.9,76981400.718
32129064.0,54716560.5,269206856.15,81752915.3896
32034519.3,54749029.5,282118714.3,91366552.0184
32047233.049999997,54894391.5,294618894.90000004,102960822.4626
31986872.0,54990547.0,292392196.7500001,97551655.7708
32129315.05,55058515.0,309138675.3500001,114521343.6232
32125760.15,54989189.5,305083697.65,107641923.3458
32006498.65,55276143.5,319279769.70000005,125325085.0028
32133899.25,55716623.5,321871987.5,139898080.096
32232363.3,55933883.5,330874435.0,131174779.9238
31697972.75,56090468.0,341425289.4500001,151520190.667
31604335.2,56237729.0,513701958.80000055,170614639.2838
