per5,median,per95,mean
21193556.0,26322573.0,48067274.5,33010169.9696
20977417.2,38000310.5,48329296.85,38545416.5088
20913919.25,46122331.5,49038807.75,43362188.525
21127364.55,46092697.5,52982185.700000115,45941071.0706
21354227.5,46110006.5,68709341.55000001,49065009.1148
21201063.8,46203901.5,69511378.9,51066451.6566
21704128.4,46227090.0,247545587.15000004,55664935.0078
22321655.599999998,46191885.5,250504450.10000005,62479237.0142
22457695.15,46226445.5,255777151.1,62711544.4276
22479433.700000003,46221038.5,255509367.60000002,66514296.2304
22590039.400000002,46273517.0,257446883.45,74057728.2738
22691767.25,46307285.0,258872049.25,78249896.356
22849113.45,46279749.5,261026063.0,84586258.2306
22503203.3,46233919.5,260045366.20000002,87383240.6606
22803272.5,46310237.0,262605376.2,89307607.797
22651576.55,46374180.5,266066271.95000002,102616459.2954
22680128.75,46350891.0,276830242.75,114639926.8234
22776128.25,46416047.0,275132154.45000005,119013846.186
22844388.4,46465127.5,279286793.95000005,124230902.3744
22661550.55,46437400.0,281449687.55,127373045.7524
22665993.7,46470526.0,457144012.3000003,138658190.4936
