per5,median,per95,mean
10196104.65,10450287.5,10833076.6,10601274.765
10201767.25,10484776.5,12788777.500000002,11719743.588666666
10226351.65,10529929.0,14740554.150000002,13630695.573
10221789.0,10602158.5,18602265.300000004,15518722.991333334
10220060.65,10648276.0,23079668.750000007,17833746.7665
10228642.049999999,10671010.0,25074002.55,19883850.610833332
10255748.7,10721172.5,26642480.000000004,22242359.894833334
10237405.85,10758620.5,32978992.400000002,25297397.571666665
10256714.399999999,11166282.0,219413773.64999998,29751846.9995
10252622.899999999,11182293.0,221091153.20000002,34809683.23866667
10263749.35,11333254.0,221668419.65,42603071.2885
10285818.1,11421112.5,223176950.9,42245569.851
10280520.4,11637732.5,225170488.10000002,48242460.972333334
10286898.75,11722993.5,228092972.3,57258146.880666666
10303958.35,11924085.0,231744907.5,63253373.52816667
10295905.15,12235948.5,232831111.85000002,63506904.16466667
10307580.0,12489887.0,234571706.65,76393440.36466667
10304432.15,12592918.5,237728831.00000003,89264548.85633333
10321212.4,13089421.5,242032305.60000005,93446596.82033333
10335712.9,13245371.0,244193426.55,98118051.23766667
10298814.15,14309075.5,247278897.25,114743949.9705
