per5,median,per95,mean
16029485.15,16438830.0,22624078.3,17233183.741166666
16103964.05,17390731.0,25877389.2,19256147.7815
16061629.7,17542599.5,27686077.599999998,21425969.530833334
16111693.6,17610372.5,33895757.900000006,24034401.054833334
16167209.25,17638046.0,40695114.30000001,27391531.032833334
16134239.049999999,17676359.0,47410538.85000001,29623052.132
16187446.55,17884605.5,48033127.95,31769809.092833333
16163833.85,17706180.0,52266790.45000001,34513450.12933333
16206127.5,17909734.5,228518191.95000002,40516213.362166665
16190331.25,17883682.5,235779336.70000005,41656086.273666665
16195856.95,17985841.5,241170358.45000002,43276866.37066667
16245994.25,19813535.5,243265575.75,53203543.74033333
16196852.0,19976352.5,247242401.70000002,58735992.29133333
16219700.200000001,19776534.5,247101108.65,60385279.33466667
16215269.95,20154707.0,247624752.70000002,64178532.24516667
16185698.75,19874971.5,248645215.8,74928288.8775
16196215.65,20054183.0,250088101.95000002,83287767.13616666
16196353.5,20036356.5,250235322.8,91368341.05083333
16197923.7,19969599.5,251032350.25000003,99663687.19066666
16342182.2,19988530.5,254013282.75,102168479.012
16182920.65,20185991.5,426053994.05,114341689.05916667
