per5,median,per95,mean
5207601.15,5577718.5,6918301.7,5846549.7275
5261577.7,6473001.0,16647464.550000003,9894636.7945
5290237.95,6929628.5,17453578.05,10756997.722666666
5333663.15,7009936.5,17696365.550000004,12956552.8725
5425204.8,7057517.5,17733822.6,14398456.701166667
5451782.7,7077252.5,20024972.300000012,16516617.6545
5531293.95,7154763.0,24136195.55,22169582.4115
5513934.25,7070908.5,25392311.50000002,21448874.358666666
5560755.600000001,7186323.0,215819115.0,27356971.5455
5566176.300000001,7149893.5,217571926.35000002,30370021.41
5636299.899999999,7274825.0,218981551.90000004,33816047.12083333
5588926.9,7185671.5,221314035.65,38854133.85033333
5615946.65,7268217.5,221526784.55,44029810.63116667
5565663.65,7354867.0,222758704.8,50244372.560166664
5580475.1,7353500.5,224159642.04999998,58108504.91516667
5580101.0,7412884.5,225118954.2,66016908.1265
5568536.85,7561332.5,230104951.5,68245922.8865
5579275.25,7619390.0,233465037.0,76586003.39566667
5546312.25,7564958.5,234462579.35,88457740.0445
5552773.1,7746959.5,239093969.40000013,102542522.109
5537434.899999999,7871341.0,246932216.20000008,104358749.72383334
