per5,median,per95,mean
10656821.799999999,10915910.0,11152947.9,11026740.814333333
10665690.75,10939047.0,11328076.450000001,12563737.365333334
10681449.4,10970736.5,16377035.900000002,13676584.536666667
10668675.350000001,11000701.0,17394084.6,16197858.768666666
10687502.6,11013938.0,21487124.350000028,17603443.041833334
10679968.100000001,11033988.0,24921812.500000007,19914223.4635
10693317.25,11040563.0,26819742.200000003,22572665.339
10695732.100000001,11053359.0,35742914.60000014,26727262.259166665
10693073.25,11049160.5,215801310.15000007,27335396.53533333
10699652.45,11068883.5,228277442.35000002,35179895.93283334
10700447.3,11068255.0,228898767.00000003,39468283.5495
10709876.75,11089770.5,235488232.35,40854230.32033333
10713025.85,11102658.5,237619771.7,53232782.58533333
10726278.65,11129056.5,236743937.4,53508523.23633333
10712024.5,11147701.0,238604317.60000002,60811688.0155
10717778.649999999,11278153.0,240125793.75,69195296.69083333
10714570.8,11357446.0,240280549.6,76329645.96483333
10710811.6,11619999.5,240724991.20000002,86617042.366
10720343.1,11914147.0,241710018.6,91891305.0905
10708237.8,11853933.0,243414934.9,104514499.76566666
10699331.75,11801953.5,251880251.00000003,97512603.982
