per5,median,per95,mean
5387438.3,5663654.0,6201677.15,5985134.5695
5414649.75,6757169.5,16979880.45,8900397.224666666
5532771.0,7121298.5,17772703.7,11202988.723166667
5545685.5,7294082.0,18249129.95,12558944.0955
5637623.100000001,7478570.0,18972690.000000004,15919075.577833334
5656978.95,7503959.0,21049909.25,17527522.623833332
5820939.2,7519854.5,23265817.550000004,20378676.862666667
5881813.85,7533938.5,37520655.350000024,24056569.707333334
5784661.95,7560020.0,216756580.70000002,26317025.84
5793671.399999999,7469922.0,217555977.8,32108912.022166666
5806079.2,7457259.0,219742244.95000002,31617751.814166665
5741254.0,7486430.5,221544558.65,38148383.57483333
5750871.15,7585892.0,223012183.64999998,43285324.253
5776111.25,7551747.0,223245423.3,48332339.55416667
5781265.899999999,7728944.0,224038824.6,52084184.61083333
5804488.5,7760285.5,229606568.55,67913091.527
5717318.7,7596242.0,230165922.0,71200550.35216667
5750410.45,7731906.0,231093185.0,71237562.6515
5759474.35,7826907.0,233968765.35000002,87841171.26516667
5714960.449999999,7901461.5,237833630.20000002,96104936.04266667
5712105.55,8031017.0,429008951.1000004,116692609.59966667
