per5,median,per95,mean
10825982.2,11043699.5,11291931.2,11173625.22
10823804.15,11063108.0,11368638.4,12895114.1925
10844407.7,11080770.0,16768611.4,14332309.347666666
10832741.649999999,11100478.5,17699172.0,14758047.622166667
10847325.0,11139022.5,20833666.65,18858672.189333335
10864964.85,11198714.0,25394358.05000001,20758543.1015
10848752.65,11168604.0,26930257.500000007,22704323.113666665
10855830.1,11196956.0,27930827.25,26050849.54633333
10852585.75,11202015.0,222352120.60000002,28543053.754833333
10863620.25,11206057.0,225732739.10000002,34221460.759333335
10874825.0,11221947.0,229664999.35,36688239.17716666
10854348.950000001,11216924.0,233982583.1,41864497.80016667
10863579.6,11228224.5,235275191.55,42071752.24033333
10878796.149999999,11266962.0,238188950.20000002,57445627.381
10877308.85,11279814.0,238333504.7,65138836.54466667
10864891.15,11285336.0,238569686.65,59492795.001166664
10864673.1,11358521.5,240331022.39999998,77207228.88316667
10863987.1,11418021.0,239687465.0,73181070.34333333
10858708.15,11853627.5,241531849.5,82285847.2645
10861815.75,12067371.0,241605059.25,89154618.44733334
10844484.200000001,12205308.5,244356086.95000005,103777792.25183333
