per5,median,per95,mean
46278416.0,48571169.5,52218228.35,48996800.9485
46109464.2,48457464.0,53427349.2,51412759.5375
46029182.6,48667915.0,77363868.95,55297450.5305
46118142.449999996,48831369.0,121839854.45000002,59708172.4525
45907553.550000004,48718928.0,132317527.9,63257301.483833335
44639730.199999996,48619215.0,174869939.05,65845009.392333336
43013157.5,48564663.5,177190465.35,68323783.956
42775116.85,48767296.0,177617049.65,72059952.14816667
42564390.95,48617200.5,272066836.6,79589785.59566666
42362538.199999996,48693172.0,310216579.95000005,89794035.85783334
42357004.7,48796501.0,316405752.9,93425420.031
42251521.3,48706635.0,314532482.25000006,91562915.5655
42105982.85,48715905.0,337885752.35,101433503.24333334
42179124.95,48703497.0,336251852.45,105650766.135
41976912.4,48951400.5,358425334.59999996,118237064.61433333
42056605.300000004,49052054.5,361851913.20000017,122384366.60866667
41890572.45,48986001.5,383218272.90000004,133757724.63766667
41965039.35,49150340.0,405395629.45,147937942.27233332
41882136.849999994,49120385.0,410681395.0,151833896.65883332
42002689.25,49566363.5,446229596.05,189401756.41733333
41766384.6,49389712.5,462478793.7500002,184824749.23116666
