per5,median,per95,mean
55309340.849999994,57106127.0,58652803.35,57160002.7315
55127334.9,57063397.5,58946979.85,60233452.4265
55030783.4,57196071.5,70795394.70000002,63400275.2005
55250632.25,57223988.0,117559455.10000008,68339887.24066667
55345757.55,57406762.5,133816944.7,71424336.84633334
46796678.550000004,57347706.0,274218669.40000004,76520794.075
46545923.25,57366525.5,310348197.6500003,80829189.56216666
46468446.55,57453786.5,318372565.7,87735403.24733333
46344098.3,57382575.5,320860019.4,95835854.2955
46209675.15,57284689.0,321301816.05,94408160.80533333
46133678.75,57317643.0,321568121.7,100034950.86733334
46213178.3,57381591.0,331206703.05,109060050.83866666
46129344.45,57409697.5,331023325.55,117001169.45883334
46220283.65,57372033.0,337376939.15,122375154.05616666
46154443.9,57407472.0,354167003.5,129332343.09266667
46135952.050000004,57364655.0,368012543.65000004,141992848.29683334
46221332.449999996,57357483.0,368912164.15000004,142518991.215
46187367.0,57393429.0,388517588.05000013,157904395.90833333
46211665.05,57361549.5,406255578.4000002,165649935.2875
46187825.3,57386830.5,469545589.7000002,195734501.24066666
46234459.0,57469606.5,556169303.5500001,203087575.573
