per5,median,per95,mean
61874793.45,63969259.0,67272006.10000001,64242976.568
61669700.75,64013136.0,68589726.5,66724328.105166666
57002489.6,63971379.5,89537420.60000001,69026615.176
56641368.85,63871575.5,119541232.45000003,72409801.08483334
56489774.8,63938568.0,138015261.20000002,75142831.383
54929768.85,63886662.0,178774973.75000027,78688020.05433333
52367764.199999996,63984043.5,189638543.85,83547437.805
51495814.15,63884611.5,211232436.9000001,86594672.71433334
51130475.65,63909619.5,287944697.40000004,90966556.27433333
51061121.2,63876911.5,325539463.6,98982900.91966666
50936561.35,63968266.5,331269410.4,105229016.0105
50763212.5,63884833.5,336806455.70000005,107720999.88633333
50629995.449999996,63973303.0,346781659.0,119665045.2275
50810438.15,63861122.5,369548610.8,123936734.87666667
50950832.4,63947644.5,362771237.6500001,129736732.09133333
50866297.35,64050035.0,382686166.35,141588963.59583333
50799689.95,64071239.5,384507755.0000002,144402449.49416667
50737503.4,64239708.0,400248223.95000005,164113205.00533333
50662180.25,64385193.0,423324859.8500001,168533924.78633332
50614169.1,64190214.0,428168542.55,173382277.36383334
50527091.7,64555630.0,480595494.65000015,202873116.73933333
