per5,median,per95,mean
67377237.15,69443465.5,70427824.55,69195173.473
67206434.9,69486594.0,70611991.3,72225702.089
66161710.05,69494287.0,82338056.0,76390026.40933333
58562772.699999996,69626425.5,127246916.60000001,79929148.28066666
58214040.099999994,69728776.0,145353310.60000002,85073058.09466666
57845143.75,69665252.0,146228699.54999998,85453688.11183333
55866617.25,69632116.0,304294380.40000015,91724711.88283333
52879742.800000004,69660275.5,329613119.15000004,94103861.17966667
55447101.2,69569230.0,330558217.59999996,97441975.03216666
52265136.25,69693055.0,332553538.2,106071212.00566667
51934065.300000004,69624016.0,332687294.9,110564492.00966667
51903137.65,69533234.5,336494782.05,116574297.39616667
51776412.3,69617069.5,346197729.05,127626649.82266666
51697482.05,69685221.5,349386689.4000001,130131503.54616667
51665323.300000004,69676926.0,356434146.0,135664867.49641606
51764764.2,69716620.0,366710816.29999995,146034005.76096016
51786688.0,69673001.0,380500268.3,155656374.60710117
51760029.4,69636267.5,381655719.74999994,166956794.86495498
51760884.35,69608365.0,415913418.59999996,174603004.5255085
51598494.4,69586641.5,426256648.84999907,188425026.41930643
51649046.400000006,69604496.0,459371736.7999997,192915773.35645214
