per5,median,per95,mean
45868269.15,48621640.5,52225269.00000001,48823858.2915
45835558.7,48591355.5,53173328.95,51357194.034833334
45753460.2,48614528.0,77085345.65,54728106.65866667
45669949.0,48482122.5,120943505.75000001,57340437.2405
44865162.25,48601178.5,125781137.95,59743150.0795
45507570.699999996,48614058.5,173687026.6,66849451.0165
42943791.7,48659747.5,177241286.9,70996300.76833333
42717879.25,48745435.0,177445421.00000006,74108134.03533334
42365008.2,48625398.0,279733251.25,79358092.00833334
42419473.2,48493618.5,289287126.7500002,84039718.95833333
42355121.550000004,48620624.5,314316027.6,91255793.19933334
42311772.949999996,48625787.5,323152257.25,92909633.21316667
42270586.75,48526344.0,329696168.6,100129273.15183334
42185077.0,48812130.5,338356188.40000015,114850140.44533333
42025713.45,48645742.5,358164168.95,120563418.70766667
42012618.05,48546971.0,361317678.1,121849284.92416666
41917917.3,48735780.0,383361660.85,136819328.05866668
41917016.35,48856231.0,387665993.0500001,150786883.765
41887711.9,48748106.0,408533899.1,161771819.09283334
41837174.699999996,48796891.0,438443747.90000004,168036489.51016667
41776011.949999996,49037063.0,449469502.20000005,180576951.06433332
