per5,median,per95,mean
56340040.25,57291094.5,58268506.0,57323035.76566666
56203307.6,57298425.0,58452804.5,60469218.89733333
56015199.1,57196624.0,69761688.80000018,63520989.891666666
56111247.4,57344314.5,118169783.65000105,67631824.27716666
55793596.35,57309463.5,133915227.5,70413813.41033334
46800933.25,57264879.0,274678450.95000005,75587629.66566667
46647983.95,57301612.0,285827989.40000015,79509362.40816666
46643731.150000006,57374644.0,318538070.8,86020322.06083333
46547284.25,57314975.5,320393692.25,89669362.77466667
46371715.55,57306485.5,320787148.45,93663211.508
46481165.15,57362384.5,321978532.20000005,99961128.49133334
46316214.2,57321671.5,329645930.5500001,109228683.934
46364029.75,57357802.0,333595096.1,117059164.51
46232593.650000006,57282152.0,345652803.70000017,127487988.5185
46124826.5,57227112.5,347494543.4500001,121675312.2355
46110237.550000004,57220282.5,366792152.5500001,138071835.933
46174254.45,57270270.0,367496011.70000005,138524742.05433333
46135537.849999994,57353110.0,371961675.8,161633938.38516667
46111288.85,57393789.5,394452868.00000006,163294903.24233332
46153322.45,57432922.5,451200978.7500007,182693982.336
46084975.400000006,57371213.0,545467387.1000001,186187860.52616668
