per5,median,per95,mean
14013878.05,23040868.5,26655523.55,22097182.955166668
14797668.1,23209078.0,27859746.200000003,23833487.529666666
14686029.3,23409801.0,32584664.200000003,25487928.295666665
14318810.9,23434454.0,39264935.20000001,27582519.104333334
13950925.25,23437349.5,47834006.00000001,29745317.501833335
14011565.5,23453796.0,49739285.05000002,31599079.891
13824006.15,23498346.5,55754879.05000001,36205144.159666665
13818082.15,23409570.0,65046550.050000004,39571245.774333335
13630928.200000001,23462309.5,228882196.55,43150661.6635
13577674.3,23379701.0,232717008.95000002,45318324.85983333
13497660.35,23405472.5,235141416.75,46756021.6075
13458068.85,23444669.5,237855454.10000002,54759470.244
13418710.7,23436394.5,239172976.95000005,55687217.42683333
13360450.450000001,23329770.0,240542603.65000007,59550548.78983333
13351855.3,23375713.5,244633546.05000013,64940466.534
13228071.5,23244338.0,258228088.20000002,75056518.34216666
13277832.35,23330226.5,259959939.6,82045377.24633333
13248746.15,23334914.5,264225501.20000002,97768567.558
13050093.7,23313157.0,263913537.45000002,92844397.07066667
13069934.8,23278083.5,267271834.3,114986967.74166666
12996780.950000001,23285778.5,272412372.90000004,108767728.5205
