per5,median,per95,mean
16616616.4,24114109.5,26249457.200000003,22723227.093
16551412.100000001,24126458.0,30919351.400000002,24175417.482
16671418.55,24164290.0,32745432.300000004,26920565.479666665
16655793.399999999,24012497.5,40358771.75000004,27855116.451666668
16686618.75,24167055.5,50481848.300000004,31347681.1405
16663782.55,24202435.0,56041798.85,34586388.42716666
16597040.799999999,24141722.5,57667454.050000004,35168719.1895
16592959.1,24270480.0,64359760.75000001,39158038.3425
16616439.75,24541214.5,227097910.75000015,45225106.59916667
16602032.950000001,24454225.5,240809082.8,48202804.49333333
16640591.549999999,24924161.0,246868935.2,53288962.475833334
16586204.8,25239254.5,247237212.25,56795231.962
16646313.450000001,25666317.0,248388766.2,58127227.95533333
16653632.700000001,25561069.0,249594084.45,66220608.794
16616928.7,25644648.0,249428216.35000002,68800340.76616667
16592443.85,25568622.0,254783332.00000018,77003085.44316667
16590922.55,26753528.0,258853121.85000002,84401995.2335
16592338.35,29216791.0,267387555.3,93311932.88166666
16640228.0,30388395.0,270391115.8,96794834.35366666
16588903.700000001,30299955.5,272549977.6,118887233.0685
16612425.950000001,30650341.0,275563959.1500001,116514869.5165
