per5,median,per95,mean
17726958.099999998,25229996.5,31953387.150000006,25832074.70083333
16857287.1,24897614.5,35510703.9,26715356.8955
16526173.25,25000034.0,39831776.400000006,28391980.650666665
16472339.0,25331991.5,41240517.75,30402410.310833335
16513809.450000001,28867137.5,50646381.95000002,33971804.581
16539898.9,26855358.5,58552390.10000002,36443751.74
16480979.950000001,28362192.5,64764894.15000001,39700166.472
16534401.15,26885641.5,69840163.7500001,41371017.47483333
16555490.95,28408180.0,237646589.45000002,46316531.34533333
16512235.85,29179260.0,239389144.85000002,47299985.1405
16468779.45,28902267.0,242311388.60000002,54285019.98866667
16483824.799999999,29087224.5,245219223.70000002,58040998.266833335
16451308.25,29218270.5,245814846.55,61743066.913
16485641.1,29407368.5,248123039.1,62804414.0045
16453272.649999999,30270066.0,255563863.60000002,72798394.74166666
16442594.4,30468681.5,259954781.8,84245855.88183333
16439059.05,30856107.5,265442027.60000005,90323292.611
16426760.05,31545427.5,267430887.15,95531421.61816667
16432504.350000001,31471392.0,274204117.85,104570984.728
16454948.700000001,31248600.5,275884013.0,113438161.20983334
16412256.35,31793086.5,289380325.00000006,130709094.283
