per5,median,per95,mean
23393398.0,36800568.5,39480003.949999996,33333704.827
23966806.15,38682484.5,41647150.050000004,37299357.362
24133129.4,38513442.5,42721085.849999994,38432723.86883333
24863663.450000003,38730081.5,44453135.000000015,41111952.645833336
25199343.6,38649050.0,61156350.70000001,44494414.98116667
25218866.0,38695727.5,64717242.50000003,45101097.99033333
25019930.5,38809868.0,72392171.60000001,48628737.367
25503964.2,38856251.0,75924857.65000013,52183698.7005
25244055.55,38782886.0,239432317.35,53365784.089
25285577.65,38906177.5,250744688.75000003,61811306.24566667
25262447.5,39147635.0,252560203.65000004,61901499.44983333
25538572.8,40214072.0,257390328.9,72964107.6175
25327907.95,41064694.5,258147284.15,71803289.48832944
25256149.0,41036680.0,258277435.30000004,70874389.90283333
25447568.25,41138846.0,260232651.75,84214121.23083334
25257478.8,41337020.0,266664443.05,88905170.751
25177063.8,41102788.0,262720367.8,85065026.96383333
25356041.349999998,41226986.0,275911952.55,96909503.846
25139205.4,41273154.0,277279888.8,104281505.55959326
25189959.45,41291932.0,281022175.5,114646538.99983327
25128369.05,41282224.5,286025550.95,129000169.09486495
