per5,median,per95,mean
15053905.049999999,22934871.0,26331564.9,22293144.442833334
14657977.05,23058141.5,27435083.900000002,24064052.341666665
14034777.85,23213536.5,32238505.150000002,25459543.081666667
14483889.45,23337192.0,40260932.2,27821384.743833333
13881721.0,23534227.5,48244178.250000015,30992165.838833332
13839426.1,23243841.5,49576320.000000015,30898242.283666667
13585861.3,23402088.0,55698547.75000001,35660690.373333335
13509593.649999999,23316064.5,61245585.75000015,37571790.215333335
13593954.4,23236560.0,228273117.95000002,39294693.097
13395408.95,23244656.0,233873300.4,43468605.80783334
13281472.950000001,23247852.0,232906843.55000004,46302920.696666665
13352397.9,23244631.0,238961874.65,56273264.84933333
13233436.6,23185446.0,239410914.85000002,56036560.29083333
13253228.549999999,23174677.0,240307583.4,58025149.178333335
13131167.5,23158392.0,242210573.1,71033689.57616666
13184242.35,23229092.0,256774314.95000005,78699778.18283333
13020151.85,23190135.0,260856251.05,82686969.07333334
13072866.65,23193263.0,261700667.85000002,90646591.24783333
13003456.85,23130982.0,264321406.85000002,99772489.911
13153461.75,23420175.5,269521086.3,113673752.167
12917645.9,23130280.0,271592180.5,107851695.47266667
