per5,median,per95,mean
16389186.9,23062708.0,26595396.849999998,21569863.11983333
16475602.450000001,23383620.5,30681023.900000002,23831587.215
16511256.0,23413187.0,32294351.650000002,26258180.136833332
16524838.3,23639884.0,37141462.85000012,29289011.2065
16548785.700000001,23887873.5,48840522.80000001,30908476.60066667
16590738.9,23997877.5,51244421.55,31493051.4
16591322.55,24060973.0,58626354.7,36242208.237166665
16502496.850000001,24151650.5,64689801.70000002,39678880.251166664
16527144.75,24735391.5,236058146.55,43751171.83083333
16490654.4,24332504.5,237330663.70000002,44556826.027166665
16518531.15,24378971.5,245724044.8,51077536.846666664
16561852.5,24521447.5,246534176.65,52410593.64283333
16518072.450000001,24476196.0,248624007.75,67466398.26833333
16510493.799999999,25515614.0,248477320.40000004,65179683.954166666
16518969.55,25463914.0,251935138.45000002,69464120.6425
16559984.35,26756860.5,251816104.35000002,71814834.88116667
16515933.0,29446516.5,260718065.75000003,77941940.73533334
16511047.1,29382970.5,264855735.85,88496381.62466666
16530760.75,29786220.5,267672101.4,94390719.36933333
16471608.149999999,30334298.0,270393295.25000006,102050221.37816666
16539788.75,30551114.0,275863168.8,124476058.111
