per5,median,per95,mean
17188579.8,17564183.5,23531770.6,18320093.71733333
17195091.05,17739484.0,25966022.400000002,20273549.587333333
17229208.0,18625665.0,30146404.45000001,23012353.290666666
17249589.8,19196966.5,34311724.95,27245421.55
17251077.8,19282186.0,35814077.7,26974853.4125
17244900.349999998,19248222.0,38916871.25000001,33151965.951
17314881.95,20711597.0,41322089.6,34967905.49333333
17370232.6,20826011.0,66643726.40002962,37763575.247
17357215.7,20862836.0,231669291.55,44104047.82816666
17477944.5,21147348.5,237007982.55,45340314.918
17444963.15,21095605.0,237250478.45000002,45515883.61016667
17514907.9,21281606.0,243749199.25,54500208.99333333
17876071.15,21701101.0,244874203.5,61776988.416666664
17730851.15,21650692.5,245819837.0,67811490.2165
17805797.0,21907688.5,245835493.05,77447345.57316667
18026500.75,21917531.5,247055822.29999998,83968991.76733333
17982073.2,21863982.0,248428184.2,84187023.8835
17985714.35,23295204.5,249363390.15000004,89761392.69183333
17889377.700000003,22594422.5,255736593.55,107337849.633
18378079.35,23164773.5,275690731.5500002,112240486.62433334
18363426.4,24781428.5,435304309.85,123583181.52016667
