per5,median,per95,mean
25953080.05,26261709.5,26795930.8,26481710.0485
25915750.3,26269726.0,29251632.1,27861695.023166668
25943513.0,26284933.0,32557931.750000022,30688992.628166668
25947713.9,26303777.0,35949558.0,31741335.153666668
25955211.349999998,26317337.0,40386216.450000025,34618554.038
25951636.9,26318757.5,40692076.250000015,36811916.530833334
25971777.5,26365437.0,45269393.05000001,37923446.99916667
25951713.0,26360190.5,49136344.50000002,39268260.079166666
25964888.650000002,26449000.5,234945237.25,45868198.792
25967343.2,26470501.5,237737162.25,51364446.558
25968767.9,26555849.0,245150198.25,55353052.12516667
25967920.35,26607717.0,248868227.60000002,59459856.457333334
25965419.599999998,26641407.5,250584352.40000004,61473939.30166667
25982210.400000002,26691768.0,253223436.55,72987082.39183334
25990277.3,26646161.0,253291471.25,74914691.56116667
25992927.349999998,26822547.5,254886144.10000002,87822974.9265
25993197.45,27616513.5,255796841.25,90322106.58116667
25998303.45,27722728.0,258562016.8,99314118.868
26007624.45,28574483.5,267939467.65,117086991.1545
25973422.1,29007683.5,282156533.30000144,122650520.13116667
25962626.55,29425460.5,443718242.5,137849691.95433334
