per5,median,per95,mean
17444580.85,17850034.5,20334926.35,18362651.10616667
17392599.8,18267798.0,26576945.3,21160617.251333334
17471420.2,18983916.5,28812281.45000002,22600275.666166667
17397318.95,19267926.5,33530033.5,25240113.485333335
17485125.849999998,19500227.5,36083067.400000006,26763019.50233333
17538051.45,19501931.0,39050663.2,30327367.712333333
17580895.8,20958404.0,41170025.15,36075471.45183333
17616313.1,20998305.0,227704353.85000002,38446742.245
17690967.85,21249895.0,231385804.5,41797495.35633333
17749159.400000002,21365657.5,240200255.60000002,46501846.293
17702516.55,21427467.5,240370831.9,50621246.557
17828191.35,21566934.0,243973684.6,54238582.74533334
18649844.8,21885614.0,245466582.75,63711178.340833336
18069580.5,21848184.0,245860407.05,70280009.87166667
18142141.950000003,21958195.0,246359379.4,74211691.25866666
18143816.8,21948977.0,246967050.6,79096606.26933333
18314603.75,23349487.0,250956690.4,100664892.23566666
17849730.099999998,22011094.0,250688799.8,94773074.29183333
18322783.799999997,23712347.0,257494934.15000004,107571883.85616666
18497747.650000002,24065859.0,264210346.65000018,126048559.29916666
18252247.65,24003174.5,437772697.60000014,125084771.53783333
