per5,median,per95,mean
44542136.3,44904607.5,45733194.35,45116951.039
44570069.599999994,44903991.5,45891559.8,45343984.60666667
44576313.9,44908236.0,48402811.949999996,46824658.79066667
44585884.8,44934665.0,54471883.95,51018376.12533333
44549590.3,44918799.5,54532210.949999996,48252072.42716666
44585036.050000004,44948544.0,57417504.85000001,54935575.391333334
44558784.8,44961967.5,58201322.300000004,56444099.92733333
44568592.9,45092894.0,59376244.85,58489244.20466667
44550207.400000006,44939896.5,60451524.800000004,57554934.045
44596792.6,44980138.0,63021258.15,72126984.376
44553522.85,44985471.5,70000222.40000007,76513877.6805
44588893.75,45138209.0,73901153.65,86545377.9185
44586338.1,45035967.5,73951351.25000001,81427725.719
44577997.800000004,45032590.5,263952030.25000003,94706011.13183333
44592884.35,45143121.5,267926220.9,102965681.25016667
44700159.7,45353331.0,277761980.8,120618241.98916666
44587525.45,45193064.5,277363809.90000004,138533417.9135
44577168.0,45129270.0,287458744.25,147517425.55133334
44567952.449999996,45230670.5,292130752.8,147171014.41166666
44548354.7,45188045.0,473939670.15000004,173319893.8995
44549984.5,45311046.5,484863825.10000026,177796955.14883333
