per5,median,per95,mean
44311212.05,44686741.0,45404922.0,44952868.197333336
44258885.9,44674412.5,45569926.55,45099950.4215
44296336.75,44693585.0,48209436.3,45561437.358166665
44289164.9,44702474.5,49246358.65000003,48129414.76783333
44285141.35,44686056.0,54641340.2,49490548.66533333
44286315.699999996,44679342.5,55955198.5,52164281.025
44359653.05,44692347.5,58219683.00000001,60012035.671333335
44302218.050000004,44712697.0,59586854.050000004,59898626.743
44297890.55,44703499.5,60146986.00000001,63136437.964
44298953.699999996,44716745.0,62590641.80000002,69350512.285
44308768.5,44755583.5,66239951.00000003,73958048.42716667
44289631.35,44758201.5,72586426.25000001,87446999.57733333
44302500.25,44799322.5,258906508.00000003,96509421.182
44284038.650000006,44760815.0,259111240.00000003,99788177.20883334
44303846.65,44802915.0,269278629.6000001,111832079.898
44296682.5,44825137.0,274921111.8,111877674.11066666
44307500.35,44833220.5,279499720.45000005,138860736.36933333
44302422.400000006,44879907.5,290087218.05,149406517.14066666
44294005.65,44882500.0,369520488.7000001,143944976.04033333
44275092.2,44934188.5,458942037.95000005,186488302.82533333
44254598.699999996,44976326.0,478830301.65000015,177442415.654
