per5,median,per95,mean
57372604.199999996,57756337.5,58366292.7,57943560.251833335
57369177.95,57761863.5,58503910.0,58105074.7925
57371525.050000004,57775826.5,60985422.1,58555951.94516667
57370432.45,57753420.0,66012126.699999996,59550123.19216666
57365739.05,57748767.5,67184187.05,60624643.778333336
57393742.25,57811721.5,67933060.0,64058630.002333336
57392305.15,57834470.5,69125852.0,65331633.414333336
57408929.7,57811445.0,70939044.85,70760391.51183334
57393288.6,57847727.5,72067744.9,79468513.84233333
57398081.5,57846515.5,72828962.7,83759480.61033334
57604572.449999996,58029570.5,74708114.25000001,93913951.52683334
57418230.8,57888797.0,85131226.40000005,93754792.99283333
57406445.5,57885373.5,273033139.7,109742889.868
57417124.949999996,57917319.5,276207946.35,118107144.7655
57374323.05,57880542.0,285171723.25000006,124877451.16466667
57422810.7,57953442.0,287651921.40000004,128540305.9515
57426312.15,57925429.0,291757691.55,139140042.6635
57420712.95,57958562.0,303580702.1000001,163735920.393
57396810.2,57956434.5,303629176.60000014,149116407.736
57405935.95,57983729.0,471525025.6500004,194470508.39016667
57396775.5,58205828.0,533892395.899997,208486682.96966162
